0;2048;bytes;5.13032;0.4;2000;sync;0;100
0;2048;bytes;4.79875;0.4;2000;dsync;0;100
0;2048;bytes;0.000330375;6.1;2000;direct;0;100
0;4096;bytes;4.94846;0.8;4000;sync;0;100
0;4096;bytes;4.97441;0.8;4000;dsync;0;100
0;4096;bytes;0.000308058;13.0;4000;direct;0;100
0;8192;bytes;4.83049;1.7;8100;sync;0;100
0;8192;bytes;5.04953;1.6;8100;dsync;0;100
0;8192;bytes;0.000515443;15.7;8100;direct;0;100
1;2048;bytes;4.6702;0.4;2000;sync;0;100
1;2048;bytes;4.74017;0.4;2000;dsync;0;100
1;2048;bytes;0.000367489;5.4;2000;direct;0;100
1;4096;bytes;5.05489;0.8;4000;sync;0;100
1;4096;bytes;4.63172;0.9;4000;dsync;0;100
1;4096;bytes;0.000376038;10.6;4000;direct;0;100
1;8192;bytes;4.89427;1.7;8100;sync;0;100
1;8192;bytes;4.89957;1.7;8100;dsync;0;100
1;8192;bytes;0.000318217;25.5;8100;direct;0;100
2;2048;bytes;4.91285;0.4;2000;sync;0;100
2;2048;bytes;4.63148;0.4;2000;dsync;0;100
2;2048;bytes;0.000382231;5.2;2000;direct;0;100
2;4096;bytes;4.92138;0.8;4000;sync;0;100
2;4096;bytes;4.82988;0.8;4000;dsync;0;100
2;4096;bytes;0.000300997;13.3;4000;direct;0;100
2;8192;bytes;4.84771;1.7;8100;sync;0;100
2;8192;bytes;5.13131;1.6;8100;dsync;0;100
2;8192;bytes;0.000313023;25.9;8100;direct;0;100
